Source,Target,Type,weight,book
Brynden-Tully,Lysa-Arryn,Undirected,10,1
Brynden-Tully,Nestor-Royce,Undirected,3,1
Brynden-Tully,Robb-Stark,Undirected,9,1
Brynden-Tully,Theon-Greyjoy,Undirected,6,1
Brynden-Tully,Tyrion-Lannister,Undirected,4,1
Brynden-Tully,Tywin-Lannister,Undirected,3,1
Brynden-Tully,Walder-Frey,Undirected,3,1
Catelyn-Stark,Cersei-Lannister,Undirected,12,1
Catelyn-Stark,Colemon,Undirected,3,1
Catelyn-Stark,Donnel-Waynwood,Undirected,3,1
Catelyn-Stark,Eddard-Stark,Undirected,64,1
Catelyn-Stark,Edmure-Tully,Undirected,7,1
Catelyn-Stark,Eon-Hunter,Undirected,3,1
Catelyn-Stark,Hallis-Mollen,Undirected,10,1
Catelyn-Stark,Hoster-Tully,Undirected,6,1
Catelyn-Stark,Jaime-Lannister,Undirected,9,1
Catelyn-Stark,Joffrey-Baratheon,Undirected,4,1
Catelyn-Stark,Jon-Arryn,Undirected,11,1
Catelyn-Stark,Jon-Snow,Undirected,14,1
Catelyn-Stark,Jon-Umber-(Greatjon),Undirected,4,1
Catelyn-Stark,Luwin,Undirected,14,1
Catelyn-Stark,Lysa-Arryn,Undirected,33,1
Catelyn-Stark,Marillion,Undirected,6,1
Catelyn-Stark,Masha-Heddle,Undirected,5,1
Catelyn-Stark,Moreo-Tumitis,Undirected,3,1
Catelyn-Stark,Mya-Stone,Undirected,9,1
Catelyn-Stark,Mychel-Redfort,Undirected,3,1
Catelyn-Stark,Nestor-Royce,Undirected,3,1
Catelyn-Stark,Petyr-Baelish,Undirected,22,1
Catelyn-Stark,Rickard-Karstark,Undirected,6,1
Catelyn-Stark,Rickon-Stark,Undirected,3,1
Catelyn-Stark,Robb-Stark,Undirected,49,1
Catelyn-Stark,Robert-Arryn,Undirected,3,1
Catelyn-Stark,Robert-Baratheon,Undirected,22,1
Catelyn-Stark,Rodrik-Cassel,Undirected,25,1
Catelyn-Stark,Sansa-Stark,Undirected,9,1
Catelyn-Stark,Stevron-Frey,Undirected,5,1
Catelyn-Stark,Theon-Greyjoy,Undirected,9,1
Catelyn-Stark,Tyrion-Lannister,Undirected,49,1
Catelyn-Stark,Tytos-Blackwood,Undirected,4,1
Catelyn-Stark,Tywin-Lannister,Undirected,7,1
Catelyn-Stark,Vardis-Egen,Undirected,5,1
Catelyn-Stark,Varys,Undirected,10,1
Catelyn-Stark,Walder-Frey,Undirected,13,1
Catelyn-Stark,Wendel-Manderly,Undirected,3,1
Catelyn-Stark,Willis-Wode,Undirected,5,1
Cayn,Eddard-Stark,Undirected,7,1
Cayn,Renly-Baratheon,Undirected,3,1
Cayn,Tomard,Undirected,6,1
Cersei-Lannister,Eddard-Stark,Undirected,69,1
Cersei-Lannister,Ilyn-Payne,Undirected,4,1
Cersei-Lannister,Jaime-Lannister,Undirected,16,1
Cersei-Lannister,Janos-Slynt,Undirected,4,1
Cersei-Lannister,Joffrey-Baratheon,Undirected,42,1
Cersei-Lannister,Jon-Arryn,Undirected,7,1
Cersei-Lannister,Jon-Snow,Undirected,4,1
Cersei-Lannister,Jory-Cassel,Undirected,5,1
Cersei-Lannister,Meryn-Trant,Undirected,4,1
Cersei-Lannister,Mordane,Undirected,3,1
Cersei-Lannister,Myrcella-Baratheon,Undirected,7,1
Cersei-Lannister,Petyr-Baelish,Undirected,13,1
Cersei-Lannister,Pycelle,Undirected,9,1
Cersei-Lannister,Renly-Baratheon,Undirected,5,1
Cersei-Lannister,Robert-Baratheon,Undirected,72,1
Cersei-Lannister,Sandor-Clegane,Undirected,5,1
Cersei-Lannister,Sansa-Stark,Undirected,29,1
Cersei-Lannister,Stannis-Baratheon,Undirected,5,1
Cersei-Lannister,Tommen-Baratheon,Undirected,4,1
Cersei-Lannister,Tyrion-Lannister,Undirected,27,1
Cersei-Lannister,Tywin-Lannister,Undirected,10,1
Cersei-Lannister,Varys,Undirected,19,1
Cersei-Lannister,Vayon-Poole,Undirected,4,1
Chella,Tyrion-Lannister,Undirected,5,1
Chett,Jon-Snow,Undirected,4,1
Chett,Samwell-Tarly,Undirected,6,1
Chiggen,Tyrion-Lannister,Undirected,5,1
Chiggen,Willis-Wode,Undirected,3,1
Clement-Piper,Karyl-Vance,Undirected,4,1
Cohollo,Daenerys-Targaryen,Undirected,7,1
Cohollo,Drogo,Undirected,9,1
Cohollo,Haggo,Undirected,7,1
Cohollo,Qotho,Undirected,6,1
Colemon,Vardis-Egen,Undirected,4,1
Conn,Coratt,Undirected,5,1
Conn,Shagga,Undirected,9,1
Conn,Tyrion-Lannister,Undirected,6,1
Daenerys-Targaryen,Doreah,Undirected,15,1
Daenerys-Targaryen,Drogo,Undirected,101,1
Daenerys-Targaryen,Eddard-Stark,Undirected,5,1
Daenerys-Targaryen,Eroeh,Undirected,5,1
Daenerys-Targaryen,Haggo,Undirected,12,1
Daenerys-Targaryen,Illyrio-Mopatis,Undirected,24,1
Daenerys-Targaryen,Irri,Undirected,25,1
Daenerys-Targaryen,Jhiqui,Undirected,26,1
Daenerys-Targaryen,Jhogo,Undirected,17,1
Daenerys-Targaryen,Jorah-Mormont,Undirected,75,1
Daenerys-Targaryen,Mirri-Maz-Duur,Undirected,31,1
Daenerys-Targaryen,Qotho,Undirected,18,1
Daenerys-Targaryen,Quaro,Undirected,5,1
Daenerys-Targaryen,Rakharo,Undirected,4,1
Daenerys-Targaryen,Rhaegar-Targaryen,Undirected,4,1
Daenerys-Targaryen,Robert-Baratheon,Undirected,11,1
Daenerys-Targaryen,Varys,Undirected,5,1
Daenerys-Targaryen,Viserys-Targaryen,Undirected,37,1
Danwell-Frey,Hosteen-Frey,Undirected,3,1
Danwell-Frey,Jared-Frey,Undirected,3,1
Danwell-Frey,Walder-Frey,Undirected,3,1
Dareon,Jon-Snow,Undirected,6,1
Daryn-Hornwood,Eddard-Stark,Undirected,3,1
Daryn-Hornwood,Torrhen-Karstark,Undirected,3,1
Desmond,Eddard-Stark,Undirected,4,1
Dolf,Shagga,Undirected,7,1
Donal-Noye,Jon-Snow,Undirected,7,1
Doreah,Drogo,Undirected,5,1
Doreah,Irri,Undirected,14,1
Doreah,Jhiqui,Undirected,11,1
Doreah,Jorah-Mormont,Undirected,3,1
Doreah,Viserys-Targaryen,Undirected,3,1
Drogo,Haggo,Undirected,9,1
Drogo,Illyrio-Mopatis,Undirected,16,1
Drogo,Irri,Undirected,9,1
Drogo,Jhiqui,Undirected,5,1
Drogo,Jhogo,Undirected,7,1
Drogo,Jommo,Undirected,3,1
Drogo,Jorah-Mormont,Undirected,16,1
Drogo,Mirri-Maz-Duur,Undirected,12,1
Drogo,Ogo,Undirected,11,1
Drogo,Qotho,Undirected,13,1
Drogo,Quaro,Undirected,3,1
Drogo,Rakharo,Undirected,4,1
Drogo,Rhaego,Undirected,5,1
Drogo,Robert-Baratheon,Undirected,3,1
Drogo,Viserys-Targaryen,Undirected,19,1
Dywen,Jon-Snow,Undirected,4,1
Eddard-Stark,Edmure-Tully,Undirected,3,1
Eddard-Stark,Galbart-Glover,Undirected,4,1
Eddard-Stark,Gendry,Undirected,3,1
Eddard-Stark,Gerold-Hightower,Undirected,3,1
Eddard-Stark,Gregor-Clegane,Undirected,10,1
Eddard-Stark,Harwin,Undirected,5,1
Eddard-Stark,High-Septon-(fat_one),Undirected,4,1
Eddard-Stark,Howland-Reed,Undirected,3,1
Eddard-Stark,Ilyn-Payne,Undirected,6,1
Eddard-Stark,Jacks,Undirected,4,1
Eddard-Stark,Jaime-Lannister,Undirected,27,1
Eddard-Stark,Janos-Slynt,Undirected,4,1
Eddard-Stark,Joffrey-Baratheon,Undirected,26,1
Eddard-Stark,Jon-Arryn,Undirected,47,1
Eddard-Stark,Jon-Snow,Undirected,38,1
Eddard-Stark,Jory-Cassel,Undirected,32,1
Eddard-Stark,Joss,Undirected,5,1
Eddard-Stark,Loras-Tyrell,Undirected,12,1
Eddard-Stark,Luwin,Undirected,16,1
Eddard-Stark,Lyanna-Stark,Undirected,19,1
Eddard-Stark,Lysa-Arryn,Undirected,12,1
Eddard-Stark,Marq-Piper,Undirected,3,1
Eddard-Stark,Mordane,Undirected,11,1
Eddard-Stark,Mycah,Undirected,3,1
Eddard-Stark,Petyr-Baelish,Undirected,81,1
Eddard-Stark,Porther,Undirected,4,1
Eddard-Stark,Pycelle,Undirected,33,1
Eddard-Stark,Raymun-Darry,Undirected,4,1
Eddard-Stark,Renly-Baratheon,Undirected,33,1
Eddard-Stark,Rhaegar-Targaryen,Undirected,10,1
Eddard-Stark,Rickard-Karstark,Undirected,4,1
Eddard-Stark,Rickon-Stark,Undirected,4,1
Eddard-Stark,Robb-Stark,Undirected,16,1
Eddard-Stark,Robert-Baratheon,Undirected,291,1
Eddard-Stark,Rodrik-Cassel,Undirected,7,1
Eddard-Stark,Sandor-Clegane,Undirected,10,1
Eddard-Stark,Sansa-Stark,Undirected,34,1
Eddard-Stark,Stannis-Baratheon,Undirected,18,1
Eddard-Stark,Syrio-Forel,Undirected,6,1
Eddard-Stark,Theon-Greyjoy,Undirected,5,1
Eddard-Stark,Tobho-Mott,Undirected,7,1
Eddard-Stark,Tomard,Undirected,15,1
Eddard-Stark,Torrhen-Karstark,Undirected,5,1
Eddard-Stark,Tregar,Undirected,4,1
Eddard-Stark,Tyrion-Lannister,Undirected,21,1
Eddard-Stark,Tywin-Lannister,Undirected,18,1
Eddard-Stark,Varly,Undirected,4,1
Eddard-Stark,Varys,Undirected,61,1
Eddard-Stark,Vayon-Poole,Undirected,12,1
Eddard-Stark,Wyl-(guard),Undirected,3,1
Eddard-Stark,Wylla,Undirected,3,1
Edmure-Tully,Hoster-Tully,Undirected,7,1
Edmure-Tully,Jaime-Lannister,Undirected,4,1
Edmure-Tully,Karyl-Vance,Undirected,4,1
Edmure-Tully,Lysa-Arryn,Undirected,5,1
Edmure-Tully,Marq-Piper,Undirected,3,1
Edmure-Tully,Petyr-Baelish,Undirected,4,1
Edmure-Tully,Robb-Stark,Undirected,5,1
Edmure-Tully,Tytos-Blackwood,Undirected,3,1
Eon-Hunter,Lysa-Arryn,Undirected,3,1
Eon-Hunter,Vardis-Egen,Undirected,3,1
Fogo,Ogo,Undirected,4,1
Galbart-Glover,Jaime-Lannister,Undirected,3,1
Galbart-Glover,Jon-Umber-(Greatjon),Undirected,4,1
Galbart-Glover,Rickard-Karstark,Undirected,4,1
Galbart-Glover,Robb-Stark,Undirected,5,1
Galbart-Glover,Roose-Bolton,Undirected,3,1
Gared,Jeor-Mormont,Undirected,4,1
Gared,Waymar-Royce,Undirected,13,1
Gared,Will-(prologue),Undirected,12,1
Gerold-Hightower,Oswell-Whent,Undirected,3,1
Gerold-Hightower,Robert-Baratheon,Undirected,4,1
Gregor-Clegane,Jaime-Lannister,Undirected,3,1
Gregor-Clegane,Loras-Tyrell,Undirected,10,1
Gregor-Clegane,Marq-Piper,Undirected,6,1
Gregor-Clegane,Petyr-Baelish,Undirected,3,1
Gregor-Clegane,Pycelle,Undirected,3,1
Gregor-Clegane,Robert-Baratheon,Undirected,4,1
Gregor-Clegane,Sandor-Clegane,Undirected,11,1
Gregor-Clegane,Sansa-Stark,Undirected,5,1
Gregor-Clegane,Tyrion-Lannister,Undirected,7,1
Gregor-Clegane,Tywin-Lannister,Undirected,6,1
Grenn,Halder,Undirected,6,1
Grenn,Jeor-Mormont,Undirected,3,1
Grenn,Jon-Snow,Undirected,31,1
Grenn,Pypar,Undirected,27,1
Grenn,Samwell-Tarly,Undirected,8,1
Grenn,Todder,Undirected,7,1
Gunthor-son-of-Gurn,Tyrion-Lannister,Undirected,7,1
Haggo,Mirri-Maz-Duur,Undirected,3,1
Haggo,Qotho,Undirected,11,1
Haggo,Rakharo,Undirected,3,1
Halder,Jon-Snow,Undirected,23,1
Halder,Pypar,Undirected,8,1
Halder,Rast,Undirected,3,1
Halder,Samwell-Tarly,Undirected,6,1
Halder,Todder,Undirected,3,1
Hallis-Mollen,Luwin,Undirected,4,1
Hallis-Mollen,Robb-Stark,Undirected,13,1
Hallis-Mollen,Theon-Greyjoy,Undirected,7,1
Harwin,Hullen,Undirected,3,1
Harwin,Jory-Cassel,Undirected,4,1
Harys-Swyft,Jaime-Lannister,Undirected,3,1
Heward,Jory-Cassel,Undirected,5,1
Heward,Wyl-(guard),Undirected,3,1
High-Septon-(fat_one),Joffrey-Baratheon,Undirected,4,1
Hobb,Jon-Snow,Undirected,5,1
Hodor,Luwin,Undirected,10,1
Hodor,Nan,Undirected,8,1
Hodor,Robb-Stark,Undirected,5,1
Hosteen-Frey,Jared-Frey,Undirected,3,1
Hoster-Tully,Lysa-Arryn,Undirected,3,1
Hoster-Tully,Robert-Baratheon,Undirected,3,1
Hugh,Jon-Arryn,Undirected,3,1
Hullen,Jory-Cassel,Undirected,5,1
Hullen,Luwin,Undirected,3,1
Hullen,Robb-Stark,Undirected,3,1
Hullen,Rodrik-Cassel,Undirected,3,1
Illyrio-Mopatis,Irri,Undirected,3,1
Illyrio-Mopatis,Jorah-Mormont,Undirected,7,1
Illyrio-Mopatis,Robert-Baratheon,Undirected,6,1
Illyrio-Mopatis,Viserys-Targaryen,Undirected,14,1
Ilyn-Payne,Jeyne-Poole,Undirected,3,1
Ilyn-Payne,Joffrey-Baratheon,Undirected,4,1
Ilyn-Payne,Loras-Tyrell,Undirected,3,1
Ilyn-Payne,Robert-Baratheon,Undirected,4,1
Ilyn-Payne,Sansa-Stark,Undirected,9,1
Ilyn-Payne,Varys,Undirected,5,1
Irri,Jhiqui,Undirected,14,1
Irri,Jhogo,Undirected,7,1
Irri,Jorah-Mormont,Undirected,4,1
Irri,Viserys-Targaryen,Undirected,5,1
Jafer-Flowers,Jaremy-Rykker,Undirected,3,1
Jaime-Lannister,Joffrey-Baratheon,Undirected,12,1
Jaime-Lannister,Jon-Arryn,Undirected,5,1
Jaime-Lannister,Jory-Cassel,Undirected,4,1
Jaime-Lannister,Kevan-Lannister,Undirected,4,1
Jaime-Lannister,Loras-Tyrell,Undirected,3,1
Jaime-Lannister,Lysa-Arryn,Undirected,6,1
Jaime-Lannister,Petyr-Baelish,Undirected,7,1
Jaime-Lannister,Renly-Baratheon,Undirected,4,1
Jaime-Lannister,Rickard-Karstark,Undirected,3,1
Jaime-Lannister,Robb-Stark,Undirected,9,1
Jaime-Lannister,Robert-Baratheon,Undirected,24,1
Jaime-Lannister,Rodrik-Cassel,Undirected,3,1
Jaime-Lannister,Sandor-Clegane,Undirected,12,1
Jaime-Lannister,Sansa-Stark,Undirected,3,1
Jaime-Lannister,Tyrion-Lannister,Undirected,36,1
Jaime-Lannister,Tywin-Lannister,Undirected,16,1
Jaime-Lannister,Varys,Undirected,3,1
Jaime-Lannister,Wyl-(guard),Undirected,3,1
Janos-Slynt,Joffrey-Baratheon,Undirected,4,1
Janos-Slynt,Petyr-Baelish,Undirected,3,1
Janos-Slynt,Pycelle,Undirected,3,1
Janos-Slynt,Robert-Baratheon,Undirected,4,1
Janos-Slynt,Sansa-Stark,Undirected,3,1
Jaremy-Rykker,Jeor-Mormont,Undirected,11,1
Jaremy-Rykker,Jon-Snow,Undirected,7,1
Jeor-Mormont,Jon-Snow,Undirected,81,1
Jeor-Mormont,Robert-Baratheon,Undirected,4,1
Jeor-Mormont,Samwell-Tarly,Undirected,8,1
Jeor-Mormont,Tyrion-Lannister,Undirected,23,1
Jeor-Mormont,Yoren,Undirected,3,1
Jeyne-Poole,Loras-Tyrell,Undirected,4,1
Jeyne-Poole,Mordane,Undirected,7,1
Jeyne-Poole,Robert-Baratheon,Undirected,3,1
Jeyne-Poole,Sansa-Stark,Undirected,27,1
Jhiqui,Jorah-Mormont,Undirected,4,1
Jhogo,Jorah-Mormont,Undirected,5,1
Jhogo,Mirri-Maz-Duur,Undirected,3,1
Joffrey-Baratheon,Jon-Snow,Undirected,10,1
Joffrey-Baratheon,Loras-Tyrell,Undirected,3,1
Joffrey-Baratheon,Meryn-Trant,Undirected,3,1
Joffrey-Baratheon,Mordane,Undirected,9,1
Joffrey-Baratheon,Mycah,Undirected,14,1
Joffrey-Baratheon,Myrcella-Baratheon,Undirected,5,1
Joffrey-Baratheon,Petyr-Baelish,Undirected,11,1
Joffrey-Baratheon,Pycelle,Undirected,4,1
Joffrey-Baratheon,Renly-Baratheon,Undirected,9,1
Joffrey-Baratheon,Robb-Stark,Undirected,19,1
Joffrey-Baratheon,Robert-Baratheon,Undirected,30,1
Joffrey-Baratheon,Rodrik-Cassel,Undirected,9,1
Joffrey-Baratheon,Sandor-Clegane,Undirected,24,1
Joffrey-Baratheon,Sansa-Stark,Undirected,87,1
Joffrey-Baratheon,Stannis-Baratheon,Undirected,7,1
Joffrey-Baratheon,Tommen-Baratheon,Undirected,8,1
Joffrey-Baratheon,Tyrion-Lannister,Undirected,13,1
Joffrey-Baratheon,Tywin-Lannister,Undirected,3,1
Joffrey-Baratheon,Varys,Undirected,7,1
Jommo,Ogo,Undirected,3,1
Jon-Arryn,Lysa-Arryn,Undirected,12,1
Jon-Arryn,Petyr-Baelish,Undirected,4,1
Jon-Arryn,Pycelle,Undirected,11,1
Jon-Arryn,Robert-Baratheon,Undirected,32,1
Jon-Arryn,Stannis-Baratheon,Undirected,13,1
Jon-Arryn,Tyrion-Lannister,Undirected,5,1
Jon-Arryn,Varys,Undirected,5,1
Jon-Snow,Jory-Cassel,Undirected,3,1
Jon-Snow,Luwin,Undirected,10,1
Jon-Snow,Matthar,Undirected,3,1
Jon-Snow,Mordane,Undirected,4,1
Jon-Snow,Othor,Undirected,5,1
Jon-Snow,Pypar,Undirected,45,1
Jon-Snow,Rast,Undirected,8,1
Jon-Snow,Rickon-Stark,Undirected,11,1
Jon-Snow,Robb-Stark,Undirected,53,1
Jon-Snow,Robert-Baratheon,Undirected,18,1
Jon-Snow,Rodrik-Cassel,Undirected,3,1
Jon-Snow,Samwell-Tarly,Undirected,81,1
Jon-Snow,Sansa-Stark,Undirected,8,1
Jon-Snow,Theon-Greyjoy,Undirected,8,1
Jon-Snow,Todder,Undirected,13,1
Jon-Snow,Tyrion-Lannister,Undirected,56,1
Jon-Snow,Yoren,Undirected,6,1
Jon-Umber-(Greatjon),Maege-Mormont,Undirected,5,1
Jon-Umber-(Greatjon),Rickard-Karstark,Undirected,7,1
Jon-Umber-(Greatjon),Robb-Stark,Undirected,8,1
Jon-Umber-(Greatjon),Roose-Bolton,Undirected,3,1
Jon-Umber-(Greatjon),Theon-Greyjoy,Undirected,5,1
Jon-Umber-(Greatjon),Tywin-Lannister,Undirected,3,1
Jonos-Bracken,Tytos-Blackwood,Undirected,3,1
Jorah-Mormont,Mirri-Maz-Duur,Undirected,5,1
Jorah-Mormont,Qotho,Undirected,7,1
Jorah-Mormont,Rhaegar-Targaryen,Undirected,5,1
Jorah-Mormont,Robert-Baratheon,Undirected,3,1
Jorah-Mormont,Viserys-Targaryen,Undirected,15,1
Jory-Cassel,Mordane,Undirected,3,1
Jory-Cassel,Petyr-Baelish,Undirected,8,1
Jory-Cassel,Robb-Stark,Undirected,9,1
Jory-Cassel,Robert-Baratheon,Undirected,7,1
